model,question_id,dataset,n_items,len_hardest,len_easiest,len_random,saving_hardest_pct,saving_easiest_pct
Qwen/Qwen2.5-7B-Instruct,essay_set_9,asap_sas,1159,66,25,29.445,-124.14671421293937,15.095941586007813
Qwen/Qwen3-14B,essay_set_1,asap_sas,1176,4,25,38.07,89.49303913842921,34.33149461518256
Qwen/Qwen3-14B,essay_set_10,asap_sas,1163,4,25,34.34,88.35177635410601,27.1986022131625
Qwen/Qwen3-14B,essay_set_2,asap_sas,890,4,25,39.875,89.96865203761756,37.30407523510972
Qwen/Qwen3-14B,essay_set_3,asap_sas,1151,4,25,42.46,90.57936881771079,41.12105511069242
Qwen/Qwen3-14B,essay_set_4,asap_sas,1079,10,25,29.265,65.82948915086281,14.573722877157017
Qwen/Qwen3-14B,essay_set_5,asap_sas,1389,11,25,47.03,76.61067403784818,46.842440995109506
Qwen/Qwen3-14B,essay_set_6,asap_sas,1383,4,25,52.15,92.32981783317354,52.06136145733461
Qwen/Qwen3-14B,essay_set_9,asap_sas,1159,5,25,31.225,83.98718975180144,19.93594875900721
Qwen/Qwen3-32B,essay_set_1,asap_sas,1176,4,25,39.39,89.84513835998985,36.53211474993653
Qwen/Qwen3-32B,essay_set_10,asap_sas,1163,4,25,42.375,90.56047197640117,41.00294985250738
Qwen/Qwen3-32B,essay_set_2,asap_sas,890,4,25,40.295,90.07321007569178,37.957562973073586
Qwen/Qwen3-32B,essay_set_3,asap_sas,1151,4,25,27.52,85.46511627906976,9.156976744186045
Qwen/Qwen3-32B,essay_set_4,asap_sas,1079,32,25,25.175,-27.110228401191655,0.6951340615690197
Qwen/Qwen3-32B,essay_set_5,asap_sas,1389,7,25,33.17,78.89659330720531,24.630690382876097
Qwen/Qwen3-32B,essay_set_6,asap_sas,1383,4,25,48.11,91.68572022448555,48.03575140303471
Qwen/Qwen3-32B,essay_set_8,asap_sas,1236,4,25,32.815,87.81045253694957,23.81532835593478
Qwen/Qwen3-32B,essay_set_9,asap_sas,1159,39,25,25.595,-52.37351045126002,2.3246727876538342
Qwen/Qwen3-8B,essay_set_10,asap_sas,1163,5,25,52.1,90.40307101727447,52.01535508637236
Qwen/Qwen3-8B,essay_set_4,asap_sas,1079,4,25,30.8,87.01298701298701,18.83116883116883
Qwen/Qwen3-8B,essay_set_5,asap_sas,1389,5,25,26.12,80.85758039816233,4.287901990811642
Qwen/Qwen3-8B,essay_set_6,asap_sas,1383,4,25,35.41,88.70375600112962,29.398475007060142
Qwen/Qwen3-8B,essay_set_7,asap_sas,1383,4,25,87.585,95.43300793514872,71.45629959467945
Qwen/Qwen3-8B,essay_set_8,asap_sas,1236,4,25,84.705,95.27772858745055,70.48580367156603
Qwen/Qwen3-8B,essay_set_9,asap_sas,1159,4,25,28.25,85.84070796460178,11.504424778761061
Qwen/Qwen3.5-27B,essay_set_1,asap_sas,1176,4,25,60.67,93.40695566177682,58.79347288610516
Qwen/Qwen3.5-27B,essay_set_10,asap_sas,1163,4,25,29.74,86.55010087424344,15.938130464021516
Qwen/Qwen3.5-27B,essay_set_2,asap_sas,890,4,25,29.265,86.33179566034512,14.573722877157017
Qwen/Qwen3.5-27B,essay_set_3,asap_sas,1151,4,25,30.695,86.96856165499267,18.55351034370419
Qwen/Qwen3.5-27B,essay_set_4,asap_sas,1079,6,25,25.665,76.6218585622443,2.591077342684587
Qwen/Qwen3.5-27B,essay_set_5,asap_sas,1389,39,25,25.315,-54.05885838435709,1.244321548489043
Qwen/Qwen3.5-27B,essay_set_6,asap_sas,1383,4,25,28.71,86.06757227446883,12.922326715430167
Qwen/Qwen3.5-27B,essay_set_7,asap_sas,1383,4,25,45.165,91.14358463411934,44.64740396324587
Qwen/Qwen3.5-27B,essay_set_8,asap_sas,1236,4,25,28.64,86.03351955307262,12.709497206703912
Qwen/Qwen3.5-27B,essay_set_9,asap_sas,1159,46,25,25.245,-82.21429986135867,0.9704892057833272
Qwen/Qwen3.5-35B-A3B,essay_set_1,asap_sas,1176,4,25,33.71,88.13408484129339,25.838030258083656
Qwen/Qwen3.5-35B-A3B,essay_set_10,asap_sas,1163,7,25,32.275,78.3113865220759,22.540666150271104
Qwen/Qwen3.5-35B-A3B,essay_set_2,asap_sas,890,4,25,42.185,90.51795661965154,40.737228872822094
Qwen/Qwen3.5-35B-A3B,essay_set_3,asap_sas,1151,4,25,29.305,86.35045214127281,14.690325882955127
Qwen/Qwen3.5-35B-A3B,essay_set_4,asap_sas,1079,8,25,25.735,68.91393044491937,2.8560326403730305
Qwen/Qwen3.5-35B-A3B,essay_set_5,asap_sas,1389,53,25,25.665,-106.50691603350867,2.591077342684587
Qwen/Qwen3.5-35B-A3B,essay_set_6,asap_sas,1383,4,25,35.89,88.85483421565897,30.342713847868485
Qwen/Qwen3.5-35B-A3B,essay_set_7,asap_sas,1383,4,25,44.02,90.91322126306225,43.20763289413903
Qwen/Qwen3.5-35B-A3B,essay_set_8,asap_sas,1236,4,25,29.155,86.28022637626479,14.25141485165495
Qwen/Qwen3.5-35B-A3B,essay_set_9,asap_sas,1159,59,25,26.225,-124.97616777883698,4.671115347950434
Qwen/Qwen3.5-4B,essay_set_1,asap_sas,1176,5,25,69.89,92.84590070110174,64.22950350550866
Qwen/Qwen3.5-4B,essay_set_10,asap_sas,1163,5,25,29.615,83.11666385277731,15.583319263886539
Qwen/Qwen3.5-4B,essay_set_2,asap_sas,890,4,25,103.66,96.1412309473278,75.88269342079876
Qwen/Qwen3.5-4B,essay_set_3,asap_sas,1151,4,25,38.285,89.5520438814157,34.700274258848104
Qwen/Qwen3.5-4B,essay_set_4,asap_sas,1079,6,25,40.56,85.20710059171599,38.362919132149905
Qwen/Qwen3.5-4B,essay_set_5,asap_sas,1389,53,25,25.35,-109.07297830374752,1.3806706114398477
Qwen/Qwen3.5-4B,essay_set_6,asap_sas,1383,4,25,32.295,87.61418176188265,22.588636011766532
Qwen/Qwen3.5-4B,essay_set_7,asap_sas,1383,4,25,36.555,89.05758446176993,31.6099028860621
Qwen/Qwen3.5-4B,essay_set_8,asap_sas,1236,4,25,30.49,86.88094457199081,18.0059035749426
Qwen/Qwen3.5-4B,essay_set_9,asap_sas,1159,66,25,27.24,-142.29074889867843,8.22320117474302
Qwen/Qwen3.5-9B,essay_set_1,asap_sas,1176,4,25,48.32,91.72185430463577,48.26158940397351
Qwen/Qwen3.5-9B,essay_set_10,asap_sas,1163,4,25,38.595,89.63596320766939,35.22477004793367
Qwen/Qwen3.5-9B,essay_set_2,asap_sas,890,4,25,36.66,89.08892525913802,31.805782869612653
Qwen/Qwen3.5-9B,essay_set_3,asap_sas,1151,4,25,90.47,95.57864485464795,72.36653034154969
Qwen/Qwen3.5-9B,essay_set_4,asap_sas,1079,6,25,33.74,82.21695317131001,25.903971547125078
Qwen/Qwen3.5-9B,essay_set_5,asap_sas,1389,4,25,26.155,84.70655706365896,4.41598164786848
Qwen/Qwen3.5-9B,essay_set_6,asap_sas,1383,4,25,31.01,87.1009351821993,19.380844888745568
Qwen/Qwen3.5-9B,essay_set_8,asap_sas,1236,4,25,41.63,90.39154455921211,39.94715349507567
Qwen/Qwen3.5-9B,essay_set_9,asap_sas,1159,8,25,28.95,72.36614853195164,13.644214162348876
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_1,asap_sas,1176,12,25,81.085,85.20071529876056,69.16815687241782
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_10,asap_sas,1163,4,25,46.055,91.31473238519162,45.71707740744762
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_2,asap_sas,890,4,25,92.73,95.68640138035155,73.04000862719724
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_3,asap_sas,1151,4,25,93.675,95.72991726714704,73.31198291966908
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_4,asap_sas,1079,10,25,27.205,63.24205109354898,8.105127733872445
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_5,asap_sas,1389,7,25,25.56,72.61345852895148,2.1909233176838763
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_6,asap_sas,1383,4,25,37.195,89.24586637988978,32.786664874311064
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_9,asap_sas,1159,5,25,47.13,89.39104604286018,46.955230214300876
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_10,asap_sas,1163,25,25,53.66,53.41036153559449,53.41036153559449
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_3,asap_sas,1151,25,25,28.605,12.602691837091417,12.602691837091417
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_4,asap_sas,1079,27,25,26.4,-2.2727272727272783,5.303030303030297
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_5,asap_sas,1389,8,25,32.055,75.0428950241772,22.009046950553735
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_6,asap_sas,1383,39,25,40.37,3.393609115679954,38.0728263562051
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_7,asap_sas,1383,25,25,36.235,31.005933489719883,31.005933489719883
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_9,asap_sas,1159,25,25,26.505,5.67817392944727,5.67817392944727
google/gemma-3-27b-it,essay_set_1,asap_sas,1176,5,25,40.13,87.5404933964615,37.702466982307506
google/gemma-3-27b-it,essay_set_10,asap_sas,1163,39,25,25.315,-54.05885838435709,1.244321548489043
google/gemma-3-27b-it,essay_set_2,asap_sas,890,4,25,37.74,89.4011658717541,33.757286698463176
google/gemma-3-27b-it,essay_set_3,asap_sas,1151,4,25,30.075,86.69991687448046,16.87448046550291
google/gemma-3-27b-it,essay_set_4,asap_sas,1079,25,25,25.0,0.0,0.0
google/gemma-3-27b-it,essay_set_5,asap_sas,1389,7,25,26.96,74.03560830860533,7.270029673590507
google/gemma-3-27b-it,essay_set_6,asap_sas,1383,4,25,38.81,89.69337799536203,35.58361247101263
google/gemma-3-27b-it,essay_set_8,asap_sas,1236,5,25,27.485,81.80825905039111,9.04129525195561
google/gemma-3-27b-it,essay_set_9,asap_sas,1159,32,25,25.175,-27.110228401191655,0.6951340615690197
google/gemma-4-26B-A4B-it,essay_set_1,asap_sas,1176,4,25,48.885,91.81753093996113,48.85956837475708
google/gemma-4-26B-A4B-it,essay_set_10,asap_sas,1163,4,25,27.205,85.2968204374196,8.105127733872445
google/gemma-4-26B-A4B-it,essay_set_2,asap_sas,890,4,25,39.155,89.78419103562764,36.151193972672715
google/gemma-4-26B-A4B-it,essay_set_3,asap_sas,1151,4,25,30.275,86.78777869529316,17.42361684558216
google/gemma-4-26B-A4B-it,essay_set_4,asap_sas,1079,6,25,25.665,76.6218585622443,2.591077342684587
google/gemma-4-26B-A4B-it,essay_set_5,asap_sas,1389,8,25,25.56,68.70109546165885,2.1909233176838763
google/gemma-4-26B-A4B-it,essay_set_6,asap_sas,1383,4,25,31.745,87.39959048669081,21.24744054181761
google/gemma-4-26B-A4B-it,essay_set_7,asap_sas,1383,4,25,61.4,93.48534201954396,59.28338762214984
google/gemma-4-26B-A4B-it,essay_set_8,asap_sas,1236,4,25,26.61,84.96805712138294,6.050357008643365
google/gemma-4-26B-A4B-it,essay_set_9,asap_sas,1159,39,25,25.42,-53.42250196695514,1.6522423288749082
google/gemma-4-31B-it,essay_set_1,asap_sas,1176,4,25,38.295,89.55477216346782,34.71732602167385
google/gemma-4-31B-it,essay_set_10,asap_sas,1163,6,25,27.03,77.80244173140954,7.510173880873109
google/gemma-4-31B-it,essay_set_2,asap_sas,890,4,25,32.735,87.78066289903774,23.629143118985795
google/gemma-4-31B-it,essay_set_3,asap_sas,1151,4,25,30.34,86.81608437706,17.600527356624916
google/gemma-4-31B-it,essay_set_4,asap_sas,1079,6,25,26.33,77.21230535510824,5.051272312951
google/gemma-4-31B-it,essay_set_5,asap_sas,1389,4,25,26.26,84.76770753998477,4.798172124904804
google/gemma-4-31B-it,essay_set_6,asap_sas,1383,4,25,28.29,85.86072817249911,11.629551078119475
google/gemma-4-31B-it,essay_set_7,asap_sas,1383,4,25,65.28,93.87254901960785,61.70343137254902
google/gemma-4-31B-it,essay_set_8,asap_sas,1236,5,25,26.645,81.23475323700507,6.173766185025332
google/gemma-4-31B-it,essay_set_9,asap_sas,1159,46,25,25.875,-77.77777777777779,3.3816425120772946
google/gemma-4-E2B-it,essay_set_1,asap_sas,1176,4,25,38.85,89.7039897039897,35.64993564993566
google/gemma-4-E2B-it,essay_set_10,asap_sas,1163,46,25,26.225,-75.4051477597712,4.671115347950434
google/gemma-4-E2B-it,essay_set_2,asap_sas,890,4,25,83.18,95.19115171916326,69.94469824477038
google/gemma-4-E2B-it,essay_set_3,asap_sas,1151,46,25,25.595,-79.72260207071695,2.3246727876538342
google/gemma-4-E2B-it,essay_set_4,asap_sas,1079,46,25,25.385,-81.20937561552097,1.5166436872168665
google/gemma-4-E2B-it,essay_set_5,asap_sas,1389,12,25,26.33,54.424610710216484,5.051272312951
google/gemma-4-E2B-it,essay_set_6,asap_sas,1383,4,25,32.6,87.73006134969326,23.312883435582826
google/gemma-4-E2B-it,essay_set_7,asap_sas,1383,4,25,62.965,93.6472643532121,60.29540220757564
google/gemma-4-E2B-it,essay_set_8,asap_sas,1236,4,25,27.24,85.31571218795888,8.22320117474302
google/gemma-4-E2B-it,essay_set_9,asap_sas,1159,39,25,25.28,-54.272151898734165,1.1075949367088653
google/gemma-4-E4B-it,essay_set_1,asap_sas,1176,4,25,76.745,94.78793406736595,67.4245879210372
google/gemma-4-E4B-it,essay_set_10,asap_sas,1163,4,25,27.835,85.62960301778337,10.185018861146041
google/gemma-4-E4B-it,essay_set_2,asap_sas,890,4,25,40.405,90.10023511941591,38.126469496349465
google/gemma-4-E4B-it,essay_set_3,asap_sas,1151,4,25,38.99,89.7409592203129,35.88099512695563
google/gemma-4-E4B-it,essay_set_4,asap_sas,1079,7,25,27.305,74.36366965757188,8.441677348470975
google/gemma-4-E4B-it,essay_set_5,asap_sas,1389,7,25,25.91,72.98340409108452,3.5121574681590126
google/gemma-4-E4B-it,essay_set_6,asap_sas,1383,4,25,41.28,90.31007751937985,39.43798449612403
google/gemma-4-E4B-it,essay_set_8,asap_sas,1236,4,25,51.145,92.17909864111839,51.11936650698994
google/gemma-4-E4B-it,essay_set_9,asap_sas,1159,5,25,27.8,82.01438848920863,10.071942446043169
internlm/internlm2_5-20b-chat,essay_set_10,asap_sas,1163,4,25,59.27,93.25122321579214,57.82014509870086
internlm/internlm2_5-20b-chat,essay_set_2,asap_sas,890,4,25,61.28,93.47258485639686,59.203655352480425
internlm/internlm2_5-20b-chat,essay_set_3,asap_sas,1151,4,25,78.305,94.89176936338676,68.07355852116723
internlm/internlm2_5-20b-chat,essay_set_4,asap_sas,1079,7,25,27.45,74.4990892531876,8.925318761384332
internlm/internlm2_5-20b-chat,essay_set_5,asap_sas,1389,7,25,43.75,84.0,42.857142857142854
internlm/internlm2_5-20b-chat,essay_set_6,asap_sas,1383,4,25,82.215,95.13470777838594,69.59192361491212
internlm/internlm2_5-20b-chat,essay_set_8,asap_sas,1236,4,25,92.885,95.69359961242397,73.08499757764977
internlm/internlm2_5-20b-chat,essay_set_9,asap_sas,1159,4,25,33.53,88.07038473009246,25.439904563077842
microsoft/phi-4,essay_set_1,asap_sas,1176,4,25,66.44,93.97953040337146,62.37206502107164
microsoft/phi-4,essay_set_10,asap_sas,1163,4,25,41.53,90.3684083794847,39.802552371779434
microsoft/phi-4,essay_set_2,asap_sas,890,4,25,58.12,93.11768754301445,56.98554714384033
microsoft/phi-4,essay_set_5,asap_sas,1389,4,25,25.91,84.56194519490545,3.5121574681590126
microsoft/phi-4,essay_set_6,asap_sas,1383,4,25,36.58,89.06506287588847,31.656642974302894
microsoft/phi-4,essay_set_9,asap_sas,1159,5,25,96.025,94.79302265035146,73.96511325175736
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_1,asap_sas,1176,4,25,32.335,87.62950363383331,22.684397711458175
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_10,asap_sas,1163,25,25,25.21,0.8330027766759255,0.8330027766759255
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_2,asap_sas,890,4,25,35.13,88.61372046683746,28.835752917734137
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_3,asap_sas,1151,4,25,26.96,85.16320474777447,7.270029673590507
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_4,asap_sas,1079,39,25,25.245,-54.486036838978016,0.9704892057833272
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_5,asap_sas,1389,12,25,26.505,54.72552348613468,5.67817392944727
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_6,asap_sas,1383,39,25,26.89,-45.03532911863146,7.028635180364449
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_7,asap_sas,1383,4,25,38.99,89.7409592203129,35.88099512695563
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_8,asap_sas,1236,53,25,26.12,-102.90964777947931,4.287901990811642
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_9,asap_sas,1159,32,25,25.35,-26.232741617356996,1.3806706114398477
Qwen/Qwen2.5-14B-Instruct,4d3fef6bfa66400d,mohler,30,30,25,29.3,-2.3890784982935127,14.67576791808874
Qwen/Qwen2.5-14B-Instruct,70ec4054bb7d1122,mohler,27,27,27,26.81,-0.7086907870197736,-0.7086907870197736
Qwen/Qwen2.5-32B-Instruct,12a8db106cac744f,mohler,26,26,26,25.965,-0.1347968419025617,-0.1347968419025617
Qwen/Qwen2.5-32B-Instruct,1c3a12552fbf25bd,mohler,29,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,1ed353a72ef2a4f8,mohler,29,29,29,29.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,1f2dcc9aa70c85d0,mohler,27,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,1fcd40f40472d1fe,mohler,30,30,25,29.0,-3.4482758620689653,13.793103448275861
Qwen/Qwen2.5-32B-Instruct,330c9e050d1cf143,mohler,26,26,25,25.985,-0.05772561092938453,3.790648451029438
Qwen/Qwen2.5-32B-Instruct,35ca3259034ea7d2,mohler,26,26,26,26.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,3bb8265858f79804,mohler,24,24,24,24.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,4a88ef16cda273bd,mohler,24,24,24,24.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,4d3fef6bfa66400d,mohler,30,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,51f7dbe67c51f4a7,mohler,26,26,26,26.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,552c6e9282a6a03e,mohler,27,27,25,27.0,0.0,7.4074074074074066
Qwen/Qwen2.5-32B-Instruct,70ec4054bb7d1122,mohler,27,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,77ccbf816d233fe0,mohler,27,27,25,26.87,-0.483810941570521,6.959434313360628
Qwen/Qwen2.5-32B-Instruct,77d4c50016bebaab,mohler,30,30,30,30.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,8538fac0e49f5b07,mohler,30,30,25,29.725,-0.9251471825063031,15.895710681244749
Qwen/Qwen2.5-32B-Instruct,8563d407e24f8da9,mohler,31,31,31,31.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,8a27032681c10a64,mohler,30,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,8e345bcfe0086f24,mohler,28,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,97b1d92e35ff895f,mohler,29,29,25,28.44,-1.969057665260192,12.095639943741213
Qwen/Qwen2.5-32B-Instruct,9e874db9ec0697c5,mohler,26,26,25,25.97,-0.11551790527532205,3.7350789372352673
Qwen/Qwen2.5-32B-Instruct,a128ce1006644347,mohler,24,24,24,24.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,a87634946e70966c,mohler,29,29,25,28.96,-0.138121546961323,13.674033149171272
Qwen/Qwen2.5-32B-Instruct,ada2822620634947,mohler,26,26,26,25.97,-0.11551790527532205,-0.11551790527532205
Qwen/Qwen2.5-32B-Instruct,ae3ab69d91fefd46,mohler,26,26,26,26.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,d3ee084a72db4565,mohler,28,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,d7a31d1b5701c7fe,mohler,31,31,31,30.97,-0.09686793671295169,-0.09686793671295169
Qwen/Qwen2.5-32B-Instruct,dd0a22d4dbff5b4a,mohler,29,29,29,29.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,df1f6a0071684e79,mohler,30,30,25,30.0,0.0,16.666666666666664
Qwen/Qwen2.5-32B-Instruct,e16a2d9107f1fcea,mohler,31,31,31,30.97,-0.09686793671295169,-0.09686793671295169
Qwen/Qwen2.5-32B-Instruct,e65ed48341cc5df1,mohler,24,24,24,24.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,12a8db106cac744f,mohler,26,26,26,25.975,-0.096246390760341,-0.096246390760341
Qwen/Qwen2.5-72B-Instruct-AWQ,1c3a12552fbf25bd,mohler,29,29,25,28.98,-0.06901311249137189,13.7336093857833
Qwen/Qwen2.5-72B-Instruct-AWQ,1f2dcc9aa70c85d0,mohler,27,27,25,26.99,-0.03705075954057638,7.373101148573541
Qwen/Qwen2.5-72B-Instruct-AWQ,330c9e050d1cf143,mohler,26,26,26,26.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,35ca3259034ea7d2,mohler,26,26,25,25.975,-0.096246390760341,3.753609239653518
Qwen/Qwen2.5-72B-Instruct-AWQ,3bb8265858f79804,mohler,24,24,24,24.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,4d3fef6bfa66400d,mohler,30,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,70ec4054bb7d1122,mohler,27,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,77ccbf816d233fe0,mohler,27,27,27,27.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,8e1b8cf22bc75a58,mohler,28,28,28,28.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,98d6f84c43f7b74b,mohler,26,26,26,26.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,e16a2d9107f1fcea,mohler,31,5,25,30.88,83.80829015544042,19.04145077720207
Qwen/Qwen3-32B,35ca3259034ea7d2,mohler,26,26,26,26.0,0.0,0.0
Qwen/Qwen3-32B,4d3fef6bfa66400d,mohler,30,30,25,29.2,-2.739726027397263,14.383561643835616
Qwen/Qwen3-32B,70ec4054bb7d1122,mohler,27,27,27,26.99,-0.03705075954057638,-0.03705075954057638
