model,question_id,dataset,aggregate_rate,Q1_hardest_rate,Q2_rate,Q3_rate,Q4_easiest_rate,hardest_tier,degraded,n_items,gap
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_6,asap_sas,0.9494,0.9493853940708604,,,,gold,False,1383,
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_9,asap_sas,0.9301,0.9301121656600517,,,,gold,False,1159,
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_10,asap_sas,0.92,0.7147239263803681,1.0,,,bronze,True,1163,
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_3,asap_sas,0.98,0.9800173761946134,,,,gold,False,1151,
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_4,asap_sas,0.9917,0.9916589434661723,,,,gold,False,1079,
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_5,asap_sas,0.9654,0.9654427645788337,,,,gold,False,1389,
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_6,asap_sas,0.9436,0.9436008676789588,,,,gold,False,1383,
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_7,asap_sas,0.9523,0.9861495844875346,0.9403131115459883,,,gold,False,1383,
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_9,asap_sas,0.9905,0.9905090595340811,,,,gold,False,1159,
google/gemma-3-27b-it,essay_set_1,asap_sas,0.9481,0.8337874659400545,1.0,1.0,,silver,True,1176,
google/gemma-3-27b-it,essay_set_10,asap_sas,0.9983,0.9938650306748467,1.0,,,gold,False,1163,
google/gemma-3-27b-it,essay_set_2,asap_sas,0.9539,0.8185840707964602,1.0,,1.0,silver,True,890,0.18141592920353977
google/gemma-3-27b-it,essay_set_3,asap_sas,0.9739,0.9739357080799305,,,,gold,False,1151,
google/gemma-3-27b-it,essay_set_4,asap_sas,1.0,1.0,,,,gold,False,1079,
google/gemma-3-27b-it,essay_set_5,asap_sas,0.9906,0.9906407487401008,,,,gold,False,1389,
google/gemma-3-27b-it,essay_set_6,asap_sas,0.9494,0.9493853940708604,,,,gold,False,1383,
google/gemma-3-27b-it,essay_set_8,asap_sas,0.9862,0.9731012658227848,,1.0,,gold,False,1236,
google/gemma-3-27b-it,essay_set_9,asap_sas,0.9991,0.999137187230371,,,,gold,False,1159,
google/gemma-4-26B-A4B-it,essay_set_1,asap_sas,0.926,0.7629427792915532,1.0,1.0,,bronze,True,1176,
google/gemma-4-26B-A4B-it,essay_set_10,asap_sas,0.9914,0.9693251533742331,1.0,,,gold,False,1163,
google/gemma-4-26B-A4B-it,essay_set_2,asap_sas,0.9461,0.7920353982300885,0.9979550102249489,,1.0,bronze,True,890,0.2079646017699115
google/gemma-4-26B-A4B-it,essay_set_3,asap_sas,0.9731,0.9730668983492615,,,,gold,False,1151,
google/gemma-4-26B-A4B-it,essay_set_4,asap_sas,0.9954,0.995366079703429,,,,gold,False,1079,
google/gemma-4-26B-A4B-it,essay_set_5,asap_sas,0.9964,0.9964002879769619,,,,gold,False,1389,
google/gemma-4-26B-A4B-it,essay_set_6,asap_sas,0.9704,0.970354302241504,,,,gold,False,1383,
google/gemma-4-26B-A4B-it,essay_set_7,asap_sas,0.9096,0.6592797783933518,0.9980430528375733,,,reject,True,1383,
google/gemma-4-26B-A4B-it,essay_set_8,asap_sas,0.9887,0.9778481012658228,,1.0,,gold,False,1236,
google/gemma-4-26B-A4B-it,essay_set_9,asap_sas,0.9983,0.998274374460742,,,,gold,False,1159,
google/gemma-4-31B-it,essay_set_1,asap_sas,0.9473,0.8337874659400545,0.996551724137931,1.0,,silver,True,1176,
google/gemma-4-31B-it,essay_set_10,asap_sas,0.9905,0.9662576687116564,1.0,,,gold,False,1163,
google/gemma-4-31B-it,essay_set_2,asap_sas,0.9652,0.8672566371681416,0.9979550102249489,,1.0,silver,True,890,0.1327433628318584
google/gemma-4-31B-it,essay_set_3,asap_sas,0.9783,0.9782797567332754,,,,gold,False,1151,
google/gemma-4-31B-it,essay_set_4,asap_sas,0.9926,0.9925857275254866,,,,gold,False,1079,
google/gemma-4-31B-it,essay_set_5,asap_sas,0.995,0.9949604031677466,,,,gold,False,1389,
google/gemma-4-31B-it,essay_set_6,asap_sas,0.9834,0.9833694866232827,,,,gold,False,1383,
google/gemma-4-31B-it,essay_set_7,asap_sas,0.9002,0.631578947368421,0.9951076320939335,,,reject,True,1383,
google/gemma-4-31B-it,essay_set_8,asap_sas,0.9895,0.9794303797468354,,1.0,,gold,False,1236,
google/gemma-4-31B-it,essay_set_9,asap_sas,0.9948,0.994823123382226,,,,gold,False,1159,
google/gemma-4-E2B-it,essay_set_1,asap_sas,0.9464,0.8337874659400545,0.993103448275862,1.0,,silver,True,1176,
google/gemma-4-E2B-it,essay_set_10,asap_sas,0.994,0.9785276073619632,1.0,,,gold,False,1163,
google/gemma-4-E2B-it,essay_set_2,asap_sas,0.8787,0.588495575221239,0.9693251533742331,,1.0,reject,True,890,0.41150442477876104
google/gemma-4-E2B-it,essay_set_3,asap_sas,0.9957,0.9956559513466551,,,,gold,False,1151,
google/gemma-4-E2B-it,essay_set_4,asap_sas,0.9972,0.9972196478220574,,,,gold,False,1079,
google/gemma-4-E2B-it,essay_set_5,asap_sas,0.9921,0.9920806335493161,,,,gold,False,1389,
google/gemma-4-E2B-it,essay_set_6,asap_sas,0.9675,0.9674620390455532,,,,gold,False,1383,
google/gemma-4-E2B-it,essay_set_7,asap_sas,0.9096,0.6731301939058172,0.9931506849315068,,,reject,True,1383,
google/gemma-4-E2B-it,essay_set_8,asap_sas,0.9862,0.9731012658227848,,1.0,,gold,False,1236,
google/gemma-4-E2B-it,essay_set_9,asap_sas,0.9983,0.998274374460742,,,,gold,False,1159,
google/gemma-4-E4B-it,essay_set_1,asap_sas,0.8895,0.6512261580381471,0.993103448275862,1.0,,reject,True,1176,
google/gemma-4-E4B-it,essay_set_10,asap_sas,0.9854,0.9478527607361963,1.0,,,gold,False,1163,
google/gemma-4-E4B-it,essay_set_2,asap_sas,0.9461,0.8141592920353983,0.9877300613496932,,1.0,silver,True,890,0.18584070796460173
google/gemma-4-E4B-it,essay_set_3,asap_sas,0.9479,0.947871416159861,,,,gold,False,1151,
google/gemma-4-E4B-it,essay_set_4,asap_sas,0.988,0.9879518072289156,,,,gold,False,1079,
google/gemma-4-E4B-it,essay_set_5,asap_sas,0.9964,0.9964002879769619,,,,gold,False,1389,
google/gemma-4-E4B-it,essay_set_6,asap_sas,0.9472,0.9472161966738973,,,,gold,False,1383,
google/gemma-4-E4B-it,essay_set_8,asap_sas,0.9256,0.8544303797468354,,1.0,,silver,True,1236,
google/gemma-4-E4B-it,essay_set_9,asap_sas,0.9845,0.9844693701466781,,,,gold,False,1159,
internlm/internlm2_5-20b-chat,essay_set_10,asap_sas,0.9097,0.6779141104294478,1.0,,,reject,True,1163,
internlm/internlm2_5-20b-chat,essay_set_2,asap_sas,0.9079,0.6637168141592921,0.9877300613496932,,1.0,reject,True,890,0.33628318584070793
internlm/internlm2_5-20b-chat,essay_set_3,asap_sas,0.8914,0.891398783666377,,,,silver,True,1151,
internlm/internlm2_5-20b-chat,essay_set_4,asap_sas,0.9889,0.9888785912882299,,,,gold,False,1079,
internlm/internlm2_5-20b-chat,essay_set_5,asap_sas,0.9366,0.9366450683945284,,,,gold,False,1389,
internlm/internlm2_5-20b-chat,essay_set_6,asap_sas,0.8886,0.888647866955893,,,,silver,True,1383,
internlm/internlm2_5-20b-chat,essay_set_8,asap_sas,0.8722,0.75,,1.0,,bronze,True,1236,
internlm/internlm2_5-20b-chat,essay_set_9,asap_sas,0.962,0.9620362381363244,,,,gold,False,1159,
microsoft/phi-4,essay_set_1,asap_sas,0.8963,0.6839237057220708,0.9793103448275862,1.0,,reject,True,1176,
microsoft/phi-4,essay_set_10,asap_sas,0.9398,0.7852760736196319,1.0,,,bronze,True,1163,
microsoft/phi-4,essay_set_2,asap_sas,0.9067,0.7035398230088495,0.967280163599182,,1.0,bronze,True,890,0.29646017699115046
microsoft/phi-4,essay_set_5,asap_sas,0.995,0.9949604031677466,,,,gold,False,1389,
microsoft/phi-4,essay_set_6,asap_sas,0.9544,0.9544468546637744,,,,gold,False,1383,
microsoft/phi-4,essay_set_9,asap_sas,0.8637,0.8636755823986195,,,,silver,True,1159,
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_1,asap_sas,0.9651,0.8910081743869209,0.996551724137931,1.0,,silver,True,1176,
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_10,asap_sas,0.9991,0.9969325153374233,1.0,,,gold,False,1163,
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_2,asap_sas,0.9506,0.8053097345132744,1.0,,1.0,silver,True,890,0.19469026548672563
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_3,asap_sas,0.9896,0.9895742832319722,,,,gold,False,1151,
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_4,asap_sas,0.9981,0.9981464318813716,,,,gold,False,1079,
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_5,asap_sas,0.9878,0.9877609791216703,,,,gold,False,1389,
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_6,asap_sas,0.9899,0.9898770788141721,,,,gold,False,1383,
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_7,asap_sas,0.9501,0.8254847645429363,0.9941291585127201,,,silver,True,1383,
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_8,asap_sas,0.9943,0.9889240506329114,,1.0,,gold,False,1236,
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_9,asap_sas,0.9974,0.997411561691113,,,,gold,False,1159,
Qwen/Qwen2.5-14B-Instruct,4d3fef6bfa66400d,mohler,0.9667,0.9411764705882353,,1.0,,gold,False,30,
Qwen/Qwen2.5-14B-Instruct,70ec4054bb7d1122,mohler,0.963,0.9,1.0,,,gold,False,27,
Qwen/Qwen2.5-32B-Instruct,12a8db106cac744f,mohler,0.9615,0.875,1.0,1.0,1.0,silver,True,26,0.125
Qwen/Qwen2.5-32B-Instruct,1c3a12552fbf25bd,mohler,1.0,1.0,1.0,1.0,1.0,gold,False,29,0.0
Qwen/Qwen2.5-32B-Instruct,1ed353a72ef2a4f8,mohler,0.8966,0.9,1.0,0.75,1.0,gold,False,29,0.09999999999999998
Qwen/Qwen2.5-32B-Instruct,1f2dcc9aa70c85d0,mohler,1.0,1.0,1.0,1.0,1.0,gold,False,27,0.0
Qwen/Qwen2.5-32B-Instruct,1fcd40f40472d1fe,mohler,0.9667,0.875,1.0,1.0,1.0,silver,True,30,0.125
Qwen/Qwen2.5-32B-Instruct,330c9e050d1cf143,mohler,0.9615,0.8888888888888888,1.0,1.0,1.0,silver,True,26,0.11111111111111116
Qwen/Qwen2.5-32B-Instruct,35ca3259034ea7d2,mohler,0.9231,0.8,1.0,1.0,1.0,silver,True,26,0.19999999999999996
Qwen/Qwen2.5-32B-Instruct,3bb8265858f79804,mohler,0.9167,0.6666666666666666,1.0,1.0,1.0,reject,True,24,0.33333333333333337
Qwen/Qwen2.5-32B-Instruct,4a88ef16cda273bd,mohler,0.875,0.5,1.0,1.0,1.0,reject,True,24,0.5
Qwen/Qwen2.5-32B-Instruct,4d3fef6bfa66400d,mohler,1.0,1.0,,1.0,,gold,False,30,
Qwen/Qwen2.5-32B-Instruct,51f7dbe67c51f4a7,mohler,0.8846,0.6666666666666666,1.0,1.0,1.0,reject,True,26,0.33333333333333337
Qwen/Qwen2.5-32B-Instruct,552c6e9282a6a03e,mohler,0.9259,0.75,1.0,1.0,1.0,bronze,True,27,0.25
Qwen/Qwen2.5-32B-Instruct,70ec4054bb7d1122,mohler,1.0,1.0,1.0,,,gold,False,27,
Qwen/Qwen2.5-32B-Instruct,77ccbf816d233fe0,mohler,0.963,0.8571428571428571,1.0,1.0,1.0,silver,True,27,0.1428571428571429
Qwen/Qwen2.5-32B-Instruct,77d4c50016bebaab,mohler,0.9,0.6666666666666666,1.0,1.0,1.0,reject,True,30,0.33333333333333337
Qwen/Qwen2.5-32B-Instruct,8538fac0e49f5b07,mohler,0.9333,0.8181818181818182,1.0,1.0,1.0,silver,True,30,0.18181818181818177
Qwen/Qwen2.5-32B-Instruct,8563d407e24f8da9,mohler,0.9032,0.75,0.875,1.0,1.0,bronze,True,31,0.25
Qwen/Qwen2.5-32B-Instruct,8a27032681c10a64,mohler,1.0,1.0,1.0,1.0,1.0,gold,False,30,0.0
Qwen/Qwen2.5-32B-Instruct,8e345bcfe0086f24,mohler,1.0,1.0,1.0,1.0,,gold,False,28,
Qwen/Qwen2.5-32B-Instruct,97b1d92e35ff895f,mohler,0.9655,0.9,1.0,1.0,1.0,gold,False,29,0.09999999999999998
Qwen/Qwen2.5-32B-Instruct,9e874db9ec0697c5,mohler,0.9615,0.8888888888888888,1.0,1.0,1.0,silver,True,26,0.11111111111111116
Qwen/Qwen2.5-32B-Instruct,a128ce1006644347,mohler,0.9583,0.8571428571428571,1.0,1.0,1.0,silver,True,24,0.1428571428571429
Qwen/Qwen2.5-32B-Instruct,a87634946e70966c,mohler,0.931,0.8,1.0,1.0,1.0,silver,True,29,0.19999999999999996
Qwen/Qwen2.5-32B-Instruct,ada2822620634947,mohler,0.9615,0.875,1.0,1.0,1.0,silver,True,26,0.125
Qwen/Qwen2.5-32B-Instruct,ae3ab69d91fefd46,mohler,0.8846,0.7,1.0,1.0,1.0,bronze,True,26,0.30000000000000004
Qwen/Qwen2.5-32B-Instruct,d3ee084a72db4565,mohler,1.0,1.0,1.0,1.0,,gold,False,28,
Qwen/Qwen2.5-32B-Instruct,d7a31d1b5701c7fe,mohler,0.9032,0.8,1.0,0.8333333333333334,1.0,silver,True,31,0.19999999999999996
Qwen/Qwen2.5-32B-Instruct,dd0a22d4dbff5b4a,mohler,0.8966,0.7,1.0,1.0,1.0,bronze,True,29,0.30000000000000004
Qwen/Qwen2.5-32B-Instruct,df1f6a0071684e79,mohler,0.9,0.625,1.0,1.0,1.0,reject,True,30,0.375
Qwen/Qwen2.5-32B-Instruct,e16a2d9107f1fcea,mohler,0.9032,0.6666666666666666,1.0,1.0,1.0,reject,True,31,0.33333333333333337
Qwen/Qwen2.5-32B-Instruct,e65ed48341cc5df1,mohler,0.9583,0.8333333333333334,1.0,1.0,1.0,silver,True,24,0.16666666666666663
Qwen/Qwen2.5-72B-Instruct-AWQ,12a8db106cac744f,mohler,0.9615,0.875,1.0,1.0,1.0,silver,True,26,0.125
